AM,Band gap energy (eV),Reported band gap energy (eV),Simulated J_sc (mA/cm^2),Reported J_sc (mA/cm^2)
1.0,1.7228172662260446,N/A,21.674658507850392,N/A
1.0,1.7635964646979243,N/A,19.186899088010062,N/A
1.0,1.8015030018701097,N/A,19.193276011420757,N/A
1.0,1.7954674914847508,N/A,18.214768099090907,N/A
1.0,1.7633233415804317,N/A,19.91583060883675,N/A
1.0,1.798563869094078,N/A,18.233735192292293,N/A
1.0,1.7965872075355651,N/A,18.856247303384027,N/A
1.0,1.773525059355416,N/A,19.328975450863144,N/A
1.0,1.797253068355764,N/A,19.0732206260773,N/A
1.25,1.7228172662260446,N/A,18.233735192292293,N/A
1.25,1.7635964646979243,N/A,18.856247303384027,N/A
1.25,1.8015030018701097,N/A,19.328975450863144,N/A
1.25,1.7954674914847508,N/A,19.0732206260773,N/A
1.25,1.7633233415804317,N/A,18.402531536350686,N/A
1.25,1.798563869094078,N/A,15.881125440092404,N/A
1.25,1.7965872075355651,N/A,15.565287425176674,N/A
1.25,1.773525059355416,N/A,14.973443699991538,N/A
1.25,1.797253068355764,N/A,16.489196925841604,N/A
1.5,1.7228172662260446,1.75,15.881125440092404,18.7
1.5,1.7635964646979243,1.8,15.565287425176674,17.4
1.5,1.8015030018701097,1.8,14.973443699991538,16.8
1.5,1.7954674914847508,1.77,16.489196925841604,17.8
1.5,1.7633233415804317,1.78,15.476089508477463,17.6
1.5,1.798563869094078,1.79,16.060071233587113,18.0
1.5,1.7965872075355651,1.79,16.327234424935167,18.06
1.5,1.773525059355416,1.61,15.874688612771603,22.77
1.5,1.797253068355764,1.77,16.989650334704496,18.1
1.75,1.7228172662260446,N/A,16.060071233587113,N/A
1.75,1.7635964646979243,N/A,16.327234424935167,N/A
1.75,1.8015030018701097,N/A,15.874688612771603,N/A
1.75,1.7954674914847508,N/A,16.989650334704496,N/A
1.75,1.7633233415804317,N/A,14.586716971944549,N/A
1.75,1.798563869094078,N/A,14.253607057394976,N/A
1.75,1.7965872075355651,N/A,13.713709481982935,N/A
1.75,1.773525059355416,N/A,15.141352430077252,N/A
1.75,1.797253068355764,N/A,14.25492791919265,N/A
2.0,1.7228172662260446,N/A,14.253607057394976,N/A
2.0,1.7635964646979243,N/A,13.713709481982935,N/A
2.0,1.8015030018701097,N/A,15.141352430077252,N/A
2.0,1.7954674914847508,N/A,14.25492791919265,N/A
2.0,1.7633233415804317,N/A,14.808812301233854,N/A
2.0,1.798563869094078,N/A,15.041103688781664,N/A
2.0,1.7965872075355651,N/A,14.578689564111212,N/A
2.0,1.773525059355416,N/A,15.535534797232085,N/A
2.0,1.797253068355764,N/A,13.279258992121143,N/A
